time	V(n001)	V(n002)
1.460391837888400e-02	2.286975e+01	4.746945e+00
1.558048087888400e-02	2.273179e+01	4.746506e+00
1.655704337888400e-02	2.259481e+01	4.746068e+00
1.753360587888400e-02	2.245886e+01	4.745630e+00
1.851016837888400e-02	2.232395e+01	4.745193e+00
1.948673087888400e-02	2.219012e+01	4.744758e+00
1.985409939237291e-02	2.214574e+01	4.744612e+00
1.999751963126019e-02	2.214227e+01	4.744601e+00
2.007189601985497e-02	2.215681e+01	4.744648e+00
2.012801620385574e-02	2.218284e+01	4.744734e+00
2.018873154495502e-02	2.222593e+01	4.744874e+00
2.027573221189985e-02	2.230782e+01	4.745141e+00
2.044973354578952e-02	2.250139e+01	4.745767e+00
2.059428021487570e-02	2.266947e+01	4.746307e+00
2.074514265886364e-02	2.282990e+01	4.746818e+00
2.092413025285134e-02	2.298161e+01	4.747299e+00
2.105269342135012e-02	2.305533e+01	4.747531e+00
2.117401960077769e-02	2.309282e+01	4.747649e+00
2.125855555141275e-02	2.310262e+01	4.747680e+00
2.131301006132787e-02	2.310176e+01	4.747677e+00
2.137963087419876e-02	2.309603e+01	4.747659e+00
2.142781381300663e-02	2.309034e+01	4.747641e+00
2.146702989416186e-02	2.308507e+01	4.747624e+00
2.150600483045063e-02	2.307962e+01	4.747607e+00
2.154613671029484e-02	2.307392e+01	4.747590e+00
2.159816651505176e-02	2.306648e+01	4.747566e+00
2.167139640329577e-02	2.305599e+01	4.747533e+00
2.179106204156257e-02	2.303886e+01	4.747479e+00
2.203039331809616e-02	2.300464e+01	4.747372e+00
2.250905587116334e-02	2.293645e+01	4.747156e+00
2.346638097729770e-02	2.280076e+01	4.746726e+00
2.444294347729770e-02	2.266325e+01	4.746287e+00
2.541950597729770e-02	2.252679e+01	4.745850e+00
2.639606847729770e-02	2.239136e+01	4.745412e+00
2.737263097729770e-02	2.225688e+01	4.744975e+00
2.803034575239633e-02	2.216760e+01	4.744684e+00
2.823979341691409e-02	2.214447e+01	4.744608e+00
2.834059268779205e-02	2.214711e+01	4.744617e+00
2.843403022431731e-02	2.217216e+01	4.744699e+00
2.848622644320762e-02	2.220055e+01	4.744792e+00
2.855023181207699e-02	2.225192e+01	4.744959e+00
2.865736063018124e-02	2.236031e+01	4.745311e+00
2.884876798494534e-02	2.257818e+01	4.746014e+00
2.902661844423366e-02	2.277645e+01	4.746648e+00
2.919452397857580e-02	2.293133e+01	4.747139e+00
2.937624838891447e-02	2.304719e+01	4.747505e+00
2.950152420767643e-02	2.309127e+01	4.747644e+00
2.958838274427514e-02	2.310233e+01	4.747679e+00
2.964150034202637e-02	2.310182e+01	4.747677e+00
2.971056250801339e-02	2.309607e+01	4.747659e+00
2.975970175157303e-02	2.309034e+01	4.747641e+00
2.979761572032525e-02	2.308527e+01	4.747625e+00
2.983531137025108e-02	2.308001e+01	4.747609e+00
2.987319993972476e-02	2.307463e+01	4.747592e+00
2.992165248464722e-02	2.306771e+01	4.747570e+00
2.998804395011605e-02	2.305820e+01	4.747540e+00
3.009247583362415e-02	2.304324e+01	4.747493e+00
3.029254885089195e-02	2.301462e+01	4.747403e+00
3.069269488542755e-02	2.295755e+01	4.747223e+00
3.149298695449875e-02	2.284394e+01	4.746863e+00
3.246954945449875e-02	2.270615e+01	4.746424e+00
3.344611195449875e-02	2.256936e+01	4.745986e+00
3.442267445449875e-02	2.243361e+01	4.745549e+00
3.539923695449875e-02	2.229889e+01	4.745112e+00
3.637579945449875e-02	2.216706e+01	4.744682e+00
3.659888983727437e-02	2.214824e+01	4.744621e+00
3.672290260781886e-02	2.216190e+01	4.744665e+00
3.681130614920128e-02	2.219954e+01	4.744789e+00
3.687937441592237e-02	2.224907e+01	4.744950e+00
3.695496919506161e-02	2.232214e+01	4.745188e+00
3.710615875334008e-02	2.249169e+01	4.745736e+00
3.723974255815913e-02	2.264679e+01	4.746234e+00
3.741522144075730e-02	2.283300e+01	4.746828e+00
3.759924959784094e-02	2.298507e+01	4.747309e+00
3.775696328358924e-02	2.306807e+01	4.747571e+00
3.787891908264382e-02	2.309789e+01	4.747664e+00
3.797252692525001e-02	2.310180e+01	4.747677e+00
3.804887504666642e-02	2.309629e+01	4.747660e+00
3.812394790264924e-02	2.308719e+01	4.747631e+00
3.818148704110364e-02	2.307929e+01	4.747606e+00
3.823792054060111e-02	2.307126e+01	4.747581e+00
3.831175468769138e-02	2.306070e+01	4.747548e+00
3.843835086257150e-02	2.304257e+01	4.747491e+00
3.869154321233172e-02	2.300636e+01	4.747377e+00
3.919792791185218e-02	2.293422e+01	4.747149e+00
4.017449041185218e-02	2.279583e+01	4.746710e+00
4.115105291185218e-02	2.265836e+01	4.746272e+00
4.212761541185218e-02	2.252193e+01	4.745833e+00
4.310417791185218e-02	2.238654e+01	4.745396e+00
4.408074041185218e-02	2.225204e+01	4.744959e+00
4.455545741935671e-02	2.218756e+01	4.744749e+00
4.488991267320747e-02	2.214537e+01	4.744611e+00
4.497246656655152e-02	2.214033e+01	4.744595e+00
4.502770806452330e-02	2.214545e+01	4.744611e+00
4.508083400284392e-02	2.216097e+01	4.744662e+00
4.513091082669018e-02	2.218620e+01	4.744745e+00
4.519196118494168e-02	2.223081e+01	4.744891e+00
4.529471737126350e-02	2.232922e+01	4.745211e+00
4.546351332793096e-02	2.251838e+01	4.745822e+00
4.560875924671522e-02	2.268671e+01	4.746362e+00
4.576436943029431e-02	2.284838e+01	4.746877e+00
4.595019333560372e-02	2.299583e+01	4.747344e+00
4.610614550460418e-02	2.307412e+01	4.747590e+00
4.621215605193611e-02	2.309960e+01	4.747670e+00
4.627376732726196e-02	2.310311e+01	4.747681e+00
4.633961319931357e-02	2.309991e+01	4.747671e+00
4.640364242097798e-02	2.309347e+01	4.747651e+00
4.644766595355937e-02	2.308789e+01	4.747633e+00
4.648409911305078e-02	2.308288e+01	4.747618e+00
4.652054014329284e-02	2.307774e+01	4.747602e+00
4.656461303811830e-02	2.307146e+01	4.747582e+00
4.662241421746147e-02	2.306319e+01	4.747556e+00
4.670794085936895e-02	2.305093e+01	4.747517e+00
4.685617166791038e-02	2.302972e+01	4.747450e+00
4.715263328499325e-02	2.298737e+01	4.747317e+00
4.774555651915898e-02	2.290301e+01	4.747050e+00
4.872211901915898e-02	2.276482e+01	4.746612e+00
4.969868151915898e-02	2.262759e+01	4.746173e+00
5.067524401915898e-02	2.249139e+01	4.745735e+00
5.165180651915898e-02	2.235623e+01	4.745298e+00
5.262836901915898e-02	2.222196e+01	4.744862e+00
5.307399418468618e-02	2.216760e+01	4.744684e+00
5.332162159080742e-02	2.215490e+01	4.744643e+00
5.340168121395451e-02	2.216855e+01	4.744687e+00
5.348113917649355e-02	2.220656e+01	4.744812e+00
5.355363316712215e-02	2.226080e+01	4.744988e+00
5.363943576711097e-02	2.234513e+01	4.745262e+00
5.381104096708861e-02	2.253855e+01	4.745887e+00
5.398333702227340e-02	2.273360e+01	4.746511e+00
5.415111611382274e-02	2.289747e+01	4.747033e+00
5.433492646756487e-02	2.302750e+01	4.747443e+00
5.447531869905452e-02	2.308674e+01	4.747630e+00
5.455774532816989e-02	2.310199e+01	4.747678e+00
5.461371528263243e-02	2.310380e+01	4.747683e+00
5.466808007506128e-02	2.310092e+01	4.747674e+00
5.472843836555060e-02	2.309497e+01	4.747655e+00
5.475765753636435e-02	2.309140e+01	4.747644e+00
5.477770803880042e-02	2.308873e+01	4.747636e+00
5.479960321839438e-02	2.308572e+01	4.747626e+00
5.482139574552387e-02	2.308267e+01	4.747617e+00
5.484257715226375e-02	2.307968e+01	4.747608e+00
5.486693786959553e-02	2.307622e+01	4.747597e+00
5.489369271182100e-02	2.307240e+01	4.747585e+00
5.492661781336988e-02	2.306768e+01	4.747570e+00
5.496743447756234e-02	2.306184e+01	4.747551e+00
5.502382665705622e-02	2.305376e+01	4.747526e+00
5.510955572957692e-02	2.304148e+01	4.747488e+00
5.526748266481891e-02	2.301888e+01	4.747416e+00
5.558333653530290e-02	2.297380e+01	4.747274e+00
5.621504427627085e-02	2.288399e+01	4.746990e+00
5.719160677627085e-02	2.274594e+01	4.746552e+00
5.816816927627085e-02	2.260885e+01	4.746113e+00
5.914473177627085e-02	2.247280e+01	4.745675e+00
6.012129427627085e-02	2.233778e+01	4.745238e+00
6.109785677627085e-02	2.220422e+01	4.744803e+00
6.154493280292228e-02	2.215035e+01	4.744627e+00
6.167534876412792e-02	2.215145e+01	4.744631e+00
6.177180614915136e-02	2.217731e+01	4.744716e+00
6.182931835215188e-02	2.220966e+01	4.744822e+00
6.189437318140768e-02	2.226336e+01	4.744997e+00
6.200575960243947e-02	2.237795e+01	4.745368e+00
6.218691056560001e-02	2.258517e+01	4.746036e+00
6.235880549181942e-02	2.277655e+01	4.746648e+00
6.252871108601785e-02	2.293267e+01	4.747144e+00
6.271084847522371e-02	2.304778e+01	4.747507e+00
6.284142912352768e-02	2.309309e+01	4.747650e+00
6.292049739460116e-02	2.310239e+01	4.747679e+00
6.299305574934935e-02	2.310076e+01	4.747674e+00
6.306445281589465e-02	2.309418e+01	4.747653e+00
6.311968255345644e-02	2.308727e+01	4.747631e+00
6.316334751555060e-02	2.308125e+01	4.747612e+00
6.320682182032737e-02	2.307510e+01	4.747593e+00
6.326144574792830e-02	2.306729e+01	4.747569e+00
6.334069811058161e-02	2.305594e+01	4.747533e+00
6.347371322433910e-02	2.303690e+01	4.747473e+00
6.373974345185408e-02	2.299887e+01	4.747353e+00
6.427180390688406e-02	2.292311e+01	4.747114e+00
6.524836640688406e-02	2.278479e+01	4.746675e+00
6.622492890688406e-02	2.264740e+01	4.746237e+00
6.720149140688406e-02	2.251106e+01	4.745799e+00
6.817805390688406e-02	2.237575e+01	4.745361e+00
6.915461640688406e-02	2.224132e+01	4.744925e+00
6.956327379472481e-02	2.218537e+01	4.744742e+00
6.980821432011040e-02	2.215228e+01	4.744634e+00
6.990233191253450e-02	2.214036e+01	4.744595e+00
6.993766705589977e-02	2.213684e+01	4.744583e+00
6.996536832695875e-02	2.213551e+01	4.744579e+00
6.999362796821393e-02	2.213647e+01	4.744582e+00
7.003170940700272e-02	2.214223e+01	4.744601e+00
7.007425121845177e-02	2.215511e+01	4.744643e+00
7.012077979352015e-02	2.217792e+01	4.744718e+00
7.018509860639746e-02	2.222326e+01	4.744866e+00
7.027843118008716e-02	2.231036e+01	4.745149e+00
7.043775494321437e-02	2.248716e+01	4.745721e+00
7.057467869003638e-02	2.264732e+01	4.746236e+00
7.072576966173109e-02	2.281093e+01	4.746758e+00
7.090459634568551e-02	2.296806e+01	4.747256e+00
7.103594557785668e-02	2.304763e+01	4.747507e+00
7.116439905798459e-02	2.309163e+01	4.747645e+00
7.123829305115358e-02	2.310239e+01	4.747679e+00
7.129229456674457e-02	2.310291e+01	4.747680e+00
7.134684270226072e-02	2.309933e+01	4.747669e+00
7.140632116197013e-02	2.309307e+01	4.747650e+00
7.143105254068281e-02	2.308996e+01	4.747640e+00
7.145085131913888e-02	2.308729e+01	4.747632e+00
7.147067154303620e-02	2.308455e+01	4.747623e+00
7.148985206638481e-02	2.308187e+01	4.747614e+00
7.151028020988337e-02	2.307898e+01	4.747605e+00
7.153172112296560e-02	2.307593e+01	4.747596e+00
7.155442870105010e-02	2.307269e+01	4.747586e+00
7.158176709801568e-02	2.306878e+01	4.747573e+00
7.161407129779533e-02	2.306416e+01	4.747559e+00
7.165625665298143e-02	2.305811e+01	4.747540e+00
7.171424416085452e-02	2.304980e+01	4.747514e+00
7.180561738008488e-02	2.303672e+01	4.747473e+00
7.198010911845094e-02	2.301176e+01	4.747394e+00
7.232909259518307e-02	2.296198e+01	4.747237e+00
7.302705954864730e-02	2.286284e+01	4.746923e+00
7.400362204864730e-02	2.272493e+01	4.746484e+00
7.595674704864730e-02	2.245210e+01	4.745608e+00
7.693330954864730e-02	2.231724e+01	4.745172e+00
7.790987204864730e-02	2.219743e+01	4.744781e+00
7.833561973892945e-02	2.218484e+01	4.744740e+00
7.847387837939460e-02	2.222140e+01	4.744860e+00
7.856014971653555e-02	2.227938e+01	4.745049e+00
7.866127176643110e-02	2.237700e+01	4.745366e+00
7.878086966690924e-02	2.251033e+01	4.745796e+00
7.895601847932983e-02	2.270804e+01	4.746430e+00
7.914835421213130e-02	2.289729e+01	4.747032e+00
7.932702645609196e-02	2.302607e+01	4.747439e+00
7.946620271066616e-02	2.308476e+01	4.747623e+00
7.957231446409002e-02	2.310336e+01	4.747682e+00
7.963761438557283e-02	2.310413e+01	4.747684e+00
7.970759019919163e-02	2.309858e+01	4.747667e+00
7.977496200812459e-02	2.309059e+01	4.747642e+00
7.982284001176375e-02	2.308410e+01	4.747622e+00
7.987009693478365e-02	2.307742e+01	4.747601e+00
7.992385246306803e-02	2.306974e+01	4.747576e+00
8.000372158114101e-02	2.305830e+01	4.747540e+00
8.013867437125860e-02	2.303898e+01	4.747480e+00
8.040857995149378e-02	2.300040e+01	4.747358e+00
8.094839111196413e-02	2.292352e+01	4.747115e+00
8.192495361196413e-02	2.278520e+01	4.746676e+00
8.290151611196413e-02	2.264781e+01	4.746238e+00
8.387807861196413e-02	2.251146e+01	4.745800e+00
8.485464111196413e-02	2.237615e+01	4.745363e+00
8.583120361196413e-02	2.224170e+01	4.744926e+00
8.617600594417243e-02	2.219447e+01	4.744772e+00
8.640654394312113e-02	2.216302e+01	4.744669e+00
8.650858124827999e-02	2.214925e+01	4.744624e+00
8.655342488961520e-02	2.214339e+01	4.744605e+00
8.657470674026251e-02	2.214083e+01	4.744596e+00
8.659388517895193e-02	2.213885e+01	4.744590e+00
8.661374225902146e-02	2.213735e+01	4.744585e+00
8.663753042847701e-02	2.213688e+01	4.744584e+00
8.667628746808301e-02	2.213967e+01	4.744593e+00
8.671572776655941e-02	2.214773e+01	4.744619e+00
8.675880016366967e-02	2.216389e+01	4.744672e+00
8.681108685218411e-02	2.219386e+01	4.744770e+00
8.688524830837349e-02	2.225290e+01	4.744962e+00
8.699751363269274e-02	2.236659e+01	4.745331e+00
8.718110681457251e-02	2.257655e+01	4.746008e+00
8.735295771748018e-02	2.276914e+01	4.746625e+00
8.752172455209223e-02	2.292629e+01	4.747124e+00
8.770392564783440e-02	2.304447e+01	4.747497e+00
8.783100713758497e-02	2.309122e+01	4.747644e+00
8.790505227837882e-02	2.310201e+01	4.747678e+00
8.795859814556489e-02	2.310257e+01	4.747679e+00
8.801194807965899e-02	2.309912e+01	4.747668e+00
8.807202533668472e-02	2.309284e+01	4.747649e+00
8.809467737840160e-02	2.309002e+01	4.747640e+00
8.811441393334350e-02	2.308736e+01	4.747632e+00
8.813437008539611e-02	2.308461e+01	4.747623e+00
8.815361857059521e-02	2.308192e+01	4.747615e+00
8.817425564108428e-02	2.307901e+01	4.747605e+00
8.819289205268185e-02	2.307636e+01	4.747597e+00
8.821140576449260e-02	2.307372e+01	4.747589e+00
8.823008147132268e-02	2.307105e+01	4.747581e+00
8.825019586855427e-02	2.306817e+01	4.747571e+00
8.827457347880638e-02	2.306468e+01	4.747561e+00
8.830309233294990e-02	2.306060e+01	4.747548e+00
8.833988299201719e-02	2.305532e+01	4.747531e+00
8.838915469278968e-02	2.304826e+01	4.747509e+00
8.846392041864805e-02	2.303756e+01	4.747475e+00
8.859632826631897e-02	2.301861e+01	4.747416e+00
8.886114396166080e-02	2.298080e+01	4.747296e+00
8.939077535234445e-02	2.290546e+01	4.747058e+00
9.036733785234445e-02	2.276727e+01	4.746619e+00
9.134390035234445e-02	2.263002e+01	4.746181e+00
9.232046285234445e-02	2.249381e+01	4.745743e+00
9.329702535234445e-02	2.235863e+01	4.745306e+00
9.427358785234445e-02	2.222432e+01	4.744869e+00
9.465204948547692e-02	2.217524e+01	4.744709e+00
9.494603210715524e-02	2.214661e+01	4.744615e+00
9.502319229200293e-02	2.215038e+01	4.744627e+00
9.509397289187384e-02	2.217076e+01	4.744694e+00
9.514400622551994e-02	2.219735e+01	4.744781e+00
9.520743772293626e-02	2.224625e+01	4.744941e+00
9.531286803362547e-02	2.235068e+01	4.745280e+00
9.552372865500389e-02	2.258746e+01	4.746043e+00
9.572886342601132e-02	2.280938e+01	4.746752e+00
9.591546138480565e-02	2.297007e+01	4.747262e+00
9.608691737881399e-02	2.306586e+01	4.747564e+00
9.619412172360675e-02	2.309656e+01	4.747661e+00
9.625797767531302e-02	2.310236e+01	4.747679e+00
9.631139054640023e-02	2.310112e+01	4.747675e+00
9.637829369063920e-02	2.309554e+01	4.747657e+00
9.641525823833599e-02	2.309131e+01	4.747644e+00
9.643473406823559e-02	2.308877e+01	4.747636e+00
9.645462528799169e-02	2.308607e+01	4.747628e+00
9.647441927171992e-02	2.308333e+01	4.747619e+00
9.649344686944687e-02	2.308066e+01	4.747611e+00
9.651361724225038e-02	2.307780e+01	4.747602e+00
9.653245721307077e-02	2.307512e+01	4.747593e+00
9.655453391447524e-02	2.307197e+01	4.747583e+00
9.657883488083552e-02	2.306850e+01	4.747572e+00
9.660872415102979e-02	2.306422e+01	4.747559e+00
9.664528725077261e-02	2.305898e+01	4.747542e+00
9.669498636092819e-02	2.305186e+01	4.747520e+00
9.676813300681424e-02	2.304138e+01	4.747487e+00
9.689567890638306e-02	2.302313e+01	4.747430e+00
9.715077070552072e-02	2.298669e+01	4.747315e+00
9.766095430379605e-02	2.291409e+01	4.747086e+00
9.863751680379605e-02	2.277584e+01	4.746647e+00
9.961407930379605e-02	2.263852e+01	4.746208e+00
1.005906418037961e-01	2.250224e+01	4.745770e+00
1.015672043037961e-01	2.236700e+01	4.745333e+00
1.025437668037961e-01	2.223263e+01	4.744896e+00
1.029226688204632e-01	2.218080e+01	4.744727e+00
1.031605242210785e-01	2.214877e+01	4.744622e+00
1.032424461660826e-01	2.213861e+01	4.744589e+00
1.032762107158347e-01	2.213559e+01	4.744579e+00
1.033090711996848e-01	2.213468e+01	4.744576e+00
1.033387488061154e-01	2.213667e+01	4.744583e+00
1.033768049193086e-01	2.214411e+01	4.744607e+00
1.034194771447465e-01	2.215928e+01	4.744657e+00
1.034704168771195e-01	2.218731e+01	4.744749e+00
1.035414276017071e-01	2.224207e+01	4.744927e+00
1.036478029801270e-01	2.234801e+01	4.745271e+00
1.038516086772603e-01	2.257942e+01	4.746017e+00
1.040342061575345e-01	2.278262e+01	4.746667e+00
1.042001607104681e-01	2.293478e+01	4.747150e+00
1.043814292927066e-01	2.304878e+01	4.747510e+00
1.045051844035950e-01	2.309226e+01	4.747647e+00
1.045760362824878e-01	2.310167e+01	4.747676e+00
1.046315932107343e-01	2.310177e+01	4.747677e+00
1.046859484030477e-01	2.309796e+01	4.747665e+00
1.047454024262412e-01	2.309156e+01	4.747645e+00
1.047625531170981e-01	2.308940e+01	4.747638e+00
1.047831402812181e-01	2.308661e+01	4.747630e+00
1.048032973917243e-01	2.308383e+01	4.747621e+00
1.048254333082091e-01	2.308073e+01	4.747611e+00
1.048459321513964e-01	2.307784e+01	4.747602e+00
1.048666610992103e-01	2.307489e+01	4.747592e+00
1.048911667760559e-01	2.307139e+01	4.747581e+00
1.049189656373671e-01	2.306741e+01	4.747569e+00
1.049538304548434e-01	2.306242e+01	4.747553e+00
1.049984540856116e-01	2.305602e+01	4.747533e+00
1.050624473877294e-01	2.304686e+01	4.747504e+00
1.051659943901721e-01	2.303203e+01	4.747458e+00
1.053730883950574e-01	2.300243e+01	4.747365e+00
1.057872764048281e-01	2.294340e+01	4.747178e+00
1.066156524243694e-01	2.282590e+01	4.746806e+00
1.075922149243694e-01	2.268824e+01	4.746367e+00
1.085687774243694e-01	2.255158e+01	4.745929e+00
1.095453399243694e-01	2.241597e+01	4.745492e+00
1.105219024243694e-01	2.228135e+01	4.745055e+00
1.113863400274507e-01	2.216543e+01	4.744677e+00
1.116070129358249e-01	2.214563e+01	4.744612e+00
1.117081673259308e-01	2.215601e+01	4.744646e+00
1.118061142488904e-01	2.219578e+01	4.744776e+00
1.118732512327222e-01	2.224283e+01	4.744930e+00
1.119463613649690e-01	2.231245e+01	4.745156e+00
1.120925816294627e-01	2.247527e+01	4.745683e+00
1.122309166581158e-01	2.263623e+01	4.746201e+00
1.124028006401232e-01	2.282055e+01	4.746789e+00
1.125900923129970e-01	2.297822e+01	4.747288e+00
1.127513766947691e-01	2.306700e+01	4.747568e+00
1.128583454103458e-01	2.309641e+01	4.747660e+00
1.129422884499702e-01	2.310291e+01	4.747680e+00
1.129995598799090e-01	2.310078e+01	4.747674e+00
1.130586851377931e-01	2.309502e+01	4.747656e+00
1.131022932134149e-01	2.308961e+01	4.747639e+00
1.131447347695323e-01	2.308383e+01	4.747621e+00
1.131869615373492e-01	2.307789e+01	4.747602e+00
1.132341088517402e-01	2.307117e+01	4.747581e+00
1.132980069766773e-01	2.306203e+01	4.747552e+00
1.133957120755315e-01	2.304803e+01	4.747508e+00
1.135767573157089e-01	2.302212e+01	4.747427e+00
1.139388477960638e-01	2.297045e+01	4.747263e+00
1.146630287567734e-01	2.286754e+01	4.746938e+00
1.156395912567734e-01	2.272959e+01	4.746499e+00
1.175927162567734e-01	2.245670e+01	4.745624e+00
1.185692787567734e-01	2.232180e+01	4.745186e+00
1.195458412567734e-01	2.218801e+01	4.744751e+00
1.198628226598289e-01	2.215058e+01	4.744628e+00
1.200033474691348e-01	2.214856e+01	4.744622e+00
1.200798224777696e-01	2.216475e+01	4.744675e+00
1.201359010850506e-01	2.219187e+01	4.744763e+00
