time	V(n002)	V(n003)
7.390581394361440e-03	2.446946e+01	4.751832e+00
7.585893894361440e-03	2.389141e+01	4.750101e+00
7.781206394361440e-03	2.332868e+01	4.748374e+00
7.976518894361439e-03	2.278086e+01	4.746653e+00
8.171831394361439e-03	2.224755e+01	4.744935e+00
8.367143894361438e-03	2.172837e+01	4.743220e+00
8.562456394361437e-03	2.122293e+01	4.741508e+00
8.757768894361436e-03	2.073089e+01	4.739799e+00
8.953081394361436e-03	2.025188e+01	4.738093e+00
9.148393894361435e-03	1.978555e+01	4.736387e+00
9.343706394361434e-03	1.933157e+01	4.734684e+00
9.539018894361434e-03	1.888961e+01	4.732980e+00
9.734331394361433e-03	1.845936e+01	4.731277e+00
9.929643894361432e-03	1.804049e+01	4.729574e+00
1.012495639436143e-02	1.763272e+01	4.727870e+00
1.032026889436143e-02	1.723574e+01	4.726165e+00
1.051558139436143e-02	1.684928e+01	4.724458e+00
1.071089389436143e-02	1.647304e+01	4.722749e+00
1.090620639436143e-02	1.610676e+01	4.721038e+00
1.110151889436143e-02	1.575017e+01	4.719323e+00
1.129683139436143e-02	1.540302e+01	4.717605e+00
1.149214389436143e-02	1.506506e+01	4.715882e+00
1.168745639436143e-02	1.473604e+01	4.714154e+00
1.188276889436143e-02	1.441573e+01	4.712421e+00
1.207808139436142e-02	1.410389e+01	4.710682e+00
1.227339389436142e-02	1.380029e+01	4.708936e+00
1.246870639436142e-02	1.350473e+01	4.707183e+00
1.266401889436142e-02	1.321699e+01	4.705421e+00
1.285933139436142e-02	1.293685e+01	4.703651e+00
1.305464389436142e-02	1.266413e+01	4.701872e+00
1.324995639436142e-02	1.239861e+01	4.700083e+00
1.344526889436142e-02	1.214011e+01	4.698283e+00
1.364058139436142e-02	1.188844e+01	4.696470e+00
1.383589389436142e-02	1.164343e+01	4.694646e+00
1.403120639436142e-02	1.140489e+01	4.692807e+00
1.422651889436142e-02	1.117265e+01	4.690954e+00
1.442183139436142e-02	1.094655e+01	4.689086e+00
1.461714389436142e-02	1.072642e+01	4.687201e+00
1.481245639436141e-02	1.051210e+01	4.685298e+00
1.500776889436141e-02	1.030344e+01	4.683376e+00
1.520308139436141e-02	1.010029e+01	4.681434e+00
1.539839389436141e-02	9.902498e+00	4.679471e+00
1.559370639436141e-02	9.709928e+00	4.677485e+00
1.578901889436141e-02	9.522437e+00	4.675473e+00
1.598433139436141e-02	9.339891e+00	4.673436e+00
1.617964389436141e-02	9.162160e+00	4.671371e+00
1.637495639436141e-02	8.989113e+00	4.669276e+00
1.657026889436141e-02	8.820627e+00	4.667150e+00
1.676558139436141e-02	8.656580e+00	4.664989e+00
1.696089389436141e-02	8.496853e+00	4.662791e+00
1.715620639436141e-02	8.340700e+00	4.660561e+00
1.723044583467183e-02	8.282380e+00	4.659703e+00
1.727775780179266e-02	8.245649e+00	4.659152e+00
1.730444027708509e-02	8.225051e+00	4.658840e+00
1.731947696205292e-02	8.213486e+00	4.658664e+00
1.732497422017775e-02	8.209271e+00	4.658599e+00
1.732790604302094e-02	8.207035e+00	4.658566e+00
1.732994782149958e-02	8.205489e+00	4.658542e+00
1.733184560428294e-02	8.204069e+00	4.658520e+00
1.733387788169294e-02	8.202579e+00	4.658497e+00
1.733575928165634e-02	8.201248e+00	4.658477e+00
1.733769781854107e-02	8.199964e+00	4.658457e+00
1.733965860782666e-02	8.198815e+00	4.658440e+00
1.734173074828091e-02	8.197879e+00	4.658425e+00
1.734401776633393e-02	8.197393e+00	4.658418e+00
1.734678748023346e-02	8.198116e+00	4.658429e+00
1.735096250482869e-02	8.202414e+00	4.658494e+00
1.735518665590844e-02	8.211520e+00	4.658634e+00
1.736013267417161e-02	8.229209e+00	4.658903e+00
1.736563756550204e-02	8.257926e+00	4.659337e+00
1.737364908354202e-02	8.314914e+00	4.660182e+00
1.738687268701098e-02	8.433544e+00	4.661898e+00
1.740158505381408e-02	8.588587e+00	4.664059e+00
1.741877892290105e-02	8.788774e+00	4.666721e+00
1.743724977483372e-02	9.015115e+00	4.669561e+00
1.746437028831601e-02	9.355350e+00	4.673561e+00
1.749068593996637e-02	9.687840e+00	4.677158e+00
1.772948245135381e-02	1.265871e+01	4.701221e+00
1.792479495135381e-02	1.500883e+01	4.715094e+00
1.812010745135380e-02	1.727965e+01	4.726095e+00
1.831541995135380e-02	1.945247e+01	4.734957e+00
1.851073245135380e-02	2.151554e+01	4.742368e+00
1.870604495135380e-02	2.345769e+01	4.748677e+00
1.890135745135380e-02	2.526843e+01	4.754091e+00
1.909666995135380e-02	2.693797e+01	4.758752e+00
1.929198245135380e-02	2.845731e+01	4.762758e+00
1.948729495135380e-02	2.981827e+01	4.766182e+00
1.968260745135380e-02	3.101353e+01	4.769074e+00
1.987791995135380e-02	3.203671e+01	4.771472e+00
2.007323245135380e-02	3.288238e+01	4.773405e+00
2.026854495135380e-02	3.354610e+01	4.774892e+00
2.046385745135380e-02	3.402450e+01	4.775948e+00
2.065916995135380e-02	3.431529e+01	4.776584e+00
2.085448245135380e-02	3.441742e+01	4.776806e+00
2.104979495135379e-02	3.433118e+01	4.776618e+00
2.124510745135379e-02	3.405891e+01	4.776023e+00
2.144041995135379e-02	3.360699e+01	4.775026e+00
2.163573245135379e-02	3.300824e+01	4.773692e+00
2.172912704645598e-02	3.267167e+01	4.772933e+00
2.182197736350676e-02	3.230880e+01	4.772107e+00
2.191382009783244e-02	3.194190e+01	4.771264e+00
2.196611092848700e-02	3.173253e+01	4.770780e+00
2.201489962143773e-02	3.153821e+01	4.770327e+00
2.206773062037238e-02	3.132948e+01	4.769837e+00
2.215767230132388e-02	3.097858e+01	4.769006e+00
2.233755566322690e-02	3.028912e+01	4.767348e+00
2.253286816322689e-02	2.955726e+01	4.765556e+00
2.272818066322689e-02	2.884441e+01	4.763773e+00
2.292349316322689e-02	2.815045e+01	4.761998e+00
2.311880566322689e-02	2.747488e+01	4.760231e+00
2.331411816322689e-02	2.681721e+01	4.758471e+00
2.350943066322689e-02	2.617696e+01	4.756718e+00
2.370474316322689e-02	2.555368e+01	4.754972e+00
2.390005566322689e-02	2.494691e+01	4.753231e+00
2.409536816322689e-02	2.435622e+01	4.751496e+00
2.429068066322689e-02	2.378118e+01	4.749765e+00
2.448599316322689e-02	2.322137e+01	4.748040e+00
2.468130566322689e-02	2.267639e+01	4.746319e+00
2.487661816322689e-02	2.214585e+01	4.744602e+00
2.507193066322689e-02	2.162936e+01	4.742888e+00
2.526724316322689e-02	2.112655e+01	4.741178e+00
2.546255566322688e-02	2.063705e+01	4.739469e+00
2.565786816322688e-02	2.016053e+01	4.737762e+00
2.585318066322688e-02	1.969662e+01	4.736057e+00
2.604849316322688e-02	1.924499e+01	4.734354e+00
2.624380566322688e-02	1.880533e+01	4.732650e+00
2.643911816322688e-02	1.837731e+01	4.730947e+00
2.663443066322688e-02	1.796062e+01	4.729244e+00
2.682974316322688e-02	1.755496e+01	4.727540e+00
2.702505566322688e-02	1.716004e+01	4.725834e+00
2.722036816322688e-02	1.677558e+01	4.724127e+00
2.741568066322688e-02	1.640129e+01	4.722418e+00
2.761099316322688e-02	1.603691e+01	4.720706e+00
2.780630566322688e-02	1.568217e+01	4.718990e+00
2.800161816322688e-02	1.533682e+01	4.717271e+00
2.819693066322687e-02	1.500061e+01	4.715547e+00
2.839224316322687e-02	1.467330e+01	4.713819e+00
2.858755566322687e-02	1.435464e+01	4.712085e+00
2.878286816322687e-02	1.404442e+01	4.710344e+00
2.897818066322687e-02	1.374240e+01	4.708597e+00
2.917349316322687e-02	1.344837e+01	4.706842e+00
2.936880566322687e-02	1.316211e+01	4.705080e+00
2.956411816322687e-02	1.288343e+01	4.703308e+00
2.975943066322687e-02	1.261211e+01	4.701527e+00
2.995474316322687e-02	1.234797e+01	4.699735e+00
3.015005566322687e-02	1.209081e+01	4.697932e+00
3.034536816322687e-02	1.184045e+01	4.696118e+00
3.054068066322687e-02	1.159670e+01	4.694290e+00
3.073599316322687e-02	1.135940e+01	4.692450e+00
3.093130566322687e-02	1.112836e+01	4.690593e+00
